CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
719999508.0,37.0,M,3.0,Unknown,Married,$60K - $80K,Blue,24.0,3.0,1.0,2.0,11894.0,816.0,11078.0,1.561,2438.0,45.0,0.607,0.069,Existing Customer
718982058.0,37.0,M,3.0,Graduate,Divorced,$40K - $60K,Blue,36.0,5.0,2.0,0.0,5987.0,1405.0,4582.0,0.9520000000000001,4011.0,72.0,0.674,0.235,Existing Customer
714892533.0,26.0,M,0.0,Unknown,Single,Unknown,Blue,16.0,5.0,3.0,2.0,3877.0,0.0,3877.0,0.773,2473.0,33.0,0.833,0.0,Existing Customer
712084383.0,63.0,M,1.0,Graduate,Single,Less than $40K,Blue,56.0,4.0,2.0,2.0,7936.0,2081.0,,0.941,4247.0,81.0,0.841,0.262,Existing Customer
718768158.0,57.0,M,1.0,College,Single,$40K - $60K,Blue,48.0,3.0,1.0,2.0,3539.0,0.0,3539.0,0.7809999999999999,1336.0,23.0,0.21100000000000002,0.0,Existing Customer
794524833.0,36.0,F,3.0,Graduate,Single,$40K - $60K,Blue,18.0,4.0,3.0,3.0,2265.0,1345.0,920.0,0.8079999999999999,4009.0,73.0,0.49,0.594,Existing Customer
800758233.0,30.0,M,0.0,College,Single,$60K - $80K,Blue,24.0,6.0,2.0,2.0,4109.0,0.0,4109.0,0.9490000000000001,8642.0,77.0,0.48100000000000004,0.0,Attrited Customer
769411758.0,43.0,M,1.0,Graduate,Single,$60K - $80K,Blue,37.0,4.0,3.0,4.0,20013.0,922.0,19091.0,0.655,1518.0,39.0,0.625,0.046,Existing Customer
780114558.0,50.0,M,1.0,High School,Married,Less than $40K,Blue,35.0,2.0,1.0,3.0,3968.0,2264.0,1704.0,1.0979999999999999,12535.0,118.0,0.815,0.5710000000000001,Existing Customer
710729358.0,40.0,F,2.0,High School,Single,Unknown,Blue,30.0,6.0,3.0,4.0,6479.0,0.0,6479.0,0.946,2539.0,42.0,0.5,0.0,Attrited Customer
719245983.0,46.0,F,4.0,Post-Graduate,Married,Unknown,Blue,38.0,6.0,3.0,2.0,13816.0,955.0,12861.0,0.6990000000000001,4238.0,73.0,0.659,0.069,Existing Customer
718002633.0,48.0,F,2.0,Graduate,Married,$40K - $60K,Silver,41.0,6.0,3.0,1.0,16002.0,2076.0,13926.0,0.293,3667.0,52.0,1.167,0.13,Existing Customer
712489158.0,36.0,F,0.0,Uneducated,Single,Unknown,Blue,18.0,5.0,3.0,2.0,3667.0,948.0,2719.0,0.6409999999999999,2781.0,59.0,0.8440000000000001,0.259,Existing Customer
721055058.0,36.0,M,2.0,Uneducated,Married,$60K - $80K,Blue,21.0,4.0,1.0,5.0,12763.0,2517.0,10246.0,1.631,2599.0,46.0,0.917,0.19699999999999998,Existing Customer
710756133.0,40.0,F,3.0,Unknown,Married,Less than $40K,Blue,31.0,5.0,6.0,1.0,1811.0,821.0,990.0,0.773,4290.0,73.0,0.78,0.45299999999999996,Existing Customer
