CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
712411908,44,M,3,High School,Married,$60K - $80K,Blue,34,4,2,5,21158.0,0,21158.0,0.633,4071,67,0.8109999999999999,0.0
718892283,43,M,2,Graduate,Married,$40K - $60K,Blue,34,3,2,1,4396.0,0,4396.0,0.5920000000000001,4771,78,1.053,0.0
718259433,45,F,3,High School,Married,Unknown,Blue,40,1,4,2,8383.0,0,8383.0,1.036,5460,63,0.853,0.0
708748833,37,F,3,Graduate,Single,$40K - $60K,Blue,25,2,2,3,9875.0,1239,8636.0,0.9390000000000001,8920,105,0.6940000000000001,0.125
710839308,34,F,2,High School,Single,Less than $40K,Blue,21,6,1,3,5015.0,1671,3344.0,0.6890000000000001,3161,77,0.878,0.33299999999999996
810974958,51,M,2,High School,Married,$60K - $80K,Blue,46,5,3,2,4123.0,1760,2363.0,0.8690000000000001,2447,40,0.429,0.42700000000000005
816776283,42,M,4,High School,Unknown,$80K - $120K,Gold,37,5,1,2,34516.0,1797,32719.0,1.314,1534,30,0.875,0.052000000000000005
715249533,49,F,3,Graduate,Single,Unknown,Blue,36,3,2,2,3375.0,0,3375.0,0.629,13992,103,0.807,0.0
721091583,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.7879999999999999,1298,15,1.5,0.62
708323208,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522.0,0,1522.0,0.48200000000000004,2241,36,0.8,0.0
715950483,39,F,1,Uneducated,Married,$40K - $60K,Blue,27,3,3,3,2821.0,725,2096.0,0.7040000000000001,2397,35,0.29600000000000004,0.257
713011683,37,F,3,College,Married,Unknown,Blue,24,4,2,4,11239.0,0,11239.0,0.32,2055,43,0.162,0.0
820036533,50,M,4,Unknown,Married,$80K - $120K,Blue,45,2,1,3,34516.0,1466,33050.0,0.693,7223,87,0.611,0.042
714862083,41,F,4,Uneducated,Single,Unknown,Blue,33,6,4,3,5802.0,2490,3312.0,0.8490000000000001,3386,53,1.038,0.429
716432658,48,F,3,High School,Married,Less than $40K,Blue,36,5,2,1,1438.3,0,1438.3,0.6459999999999999,4490,65,0.625,0.0
715240683,46,M,4,High School,Married,$80K - $120K,Blue,37,3,2,3,15535.0,1302,14233.0,0.461,3718,66,0.61,0.084
794516508,43,F,3,High School,Married,Less than $40K,Blue,24,2,2,1,1484.0,0,1484.0,0.532,4838,81,0.929,0.0
789197508,54,M,3,High School,Married,$60K - $80K,Blue,43,6,3,4,2240.0,1580,660.0,0.745,1518,36,0.8,0.705
710665533,42,F,5,Doctorate,Married,Unknown,Blue,23,4,2,2,24602.0,1660,22942.0,0.588,1337,44,0.76,0.067
712955433,36,F,4,Uneducated,Unknown,$40K - $60K,Blue,16,1,2,2,4370.0,1222,3148.0,0.648,7223,90,0.552,0.28
770262183,31,M,0,Uneducated,Single,Less than $40K,Blue,25,5,2,2,5715.0,1741,3974.0,0.816,2324,67,1.03,0.305
717091533,29,F,1,Graduate,Single,Unknown,Blue,36,5,2,3,13613.0,1172,12441.0,0.657,4253,84,0.75,0.086
721005108,41,M,0,College,Married,$40K - $60K,Blue,29,3,2,2,6991.0,1384,5607.0,0.66,14994,104,0.733,0.198
778245633,43,F,3,Graduate,Single,Unknown,Blue,33,3,3,1,2341.0,1818,523.0,0.833,4356,70,0.628,0.777
712552608,46,F,3,Graduate,Married,Less than $40K,Blue,34,3,3,1,1438.3,0,1438.3,0.7140000000000001,2658,43,0.654,0.0
803197833,49,F,1,Post-Graduate,Divorced,$40K - $60K,Blue,44,6,5,2,2597.0,1871,726.0,0.899,3637,69,0.725,0.72
773306658,54,M,1,Unknown,Single,$60K - $80K,Blue,48,4,5,4,4752.0,1230,3522.0,0.883,15678,103,0.7170000000000001,0.259
713974533,52,F,3,Post-Graduate,Single,Less than $40K,Blue,45,5,1,3,2555.0,1701,854.0,1.492,3127,45,1.25,0.6659999999999999
715236783,42,F,4,College,Divorced,$40K - $60K,Blue,36,4,3,2,3734.0,2517,1217.0,0.7240000000000001,4792,87,0.74,0.674
715554708,53,M,1,High School,Unknown,$120K +,Blue,34,2,1,2,8507.0,1484,7023.0,0.7090000000000001,14949,114,0.727,0.174
720789933,46,F,4,Graduate,Married,Unknown,Blue,32,2,1,1,5798.0,680,5118.0,0.708,5027,82,0.64,0.11699999999999999
717567333,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991.0,1982,2009.0,0.748,1661,35,0.9440000000000001,0.49700000000000005
716230158,35,F,3,Graduate,Married,$40K - $60K,Blue,36,4,1,4,7234.0,2000,5234.0,0.754,4272,83,0.596,0.276
712266633,51,F,2,Unknown,Married,$40K - $60K,Blue,36,2,2,1,14800.0,1020,13780.0,0.8959999999999999,8796,94,0.593,0.069
716349183,58,F,1,Uneducated,Married,Unknown,Blue,36,5,2,3,4784.0,0,4784.0,0.905,2160,54,0.929,0.0
708385533,49,F,1,Graduate,Married,Less than $40K,Silver,36,2,3,3,11059.0,0,11059.0,0.99,9524,80,0.905,0.0
709014558,49,M,2,Uneducated,Married,$60K - $80K,Blue,42,3,3,2,3783.0,0,3783.0,0.59,4383,82,0.7829999999999999,0.0
715487733,44,F,4,Graduate,Married,$40K - $60K,Blue,36,6,3,3,1452.0,0,1452.0,0.5529999999999999,2287,42,0.5,0.0
718504983,45,F,2,Graduate,Married,Less than $40K,Blue,37,6,2,2,6091.0,0,6091.0,0.56,3340,60,0.579,0.0
719962458,44,F,2,Graduate,Unknown,Less than $40K,Blue,34,3,2,2,2561.0,1491,1070.0,0.733,4869,70,0.522,0.5820000000000001
766456683,51,F,1,Graduate,Married,Less than $40K,Blue,44,6,2,0,6160.0,2258,3902.0,0.7170000000000001,3986,80,0.6,0.36700000000000005
720660558,50,M,2,Uneducated,Married,$120K +,Blue,36,4,3,4,23911.0,2100,21811.0,0.988,4770,89,0.7120000000000001,0.08800000000000001
714926508,52,M,2,Graduate,Married,$80K - $120K,Silver,45,5,4,2,34516.0,1938,32578.0,0.807,2275,46,0.43799999999999994,0.055999999999999994
715315833,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19
718216008,48,M,3,Graduate,Married,$60K - $80K,Blue,38,5,2,3,16920.0,2157,14763.0,0.629,3275,60,0.5,0.127
720008133,45,F,4,Graduate,Unknown,Unknown,Blue,36,4,1,3,3416.0,727,2689.0,0.58,4121,83,0.7290000000000001,0.213
708740808,45,M,4,Graduate,Married,$40K - $60K,Blue,36,5,3,4,4112.0,0,4112.0,0.777,2949,54,1.25,0.0
710241858,39,F,4,Unknown,Married,Less than $40K,Blue,31,6,1,4,2890.0,0,2890.0,0.545,2040,36,0.44,0.0
720674133,36,M,1,Uneducated,Married,$40K - $60K,Blue,16,5,3,2,3735.0,2027,1708.0,0.79,1672,48,0.655,0.5429999999999999
708272808,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718.0,1474,1244.0,0.71,3542,59,0.639,0.542
